Id,InitScript,ApplyScript,ClearScript,ReducePerTurn,ReducePerAttacked,ReducePerUse,UpperBound,Icon,Type,Rarity,Effects,SoundEffects,Action
BUFF的ID（唯一英文）,,BUFF生效时的效果,清除时效果,层数每回合减少数,层数每受击减少数,层数每使用卡牌减少数,层数上限,图标路径,类型,,,,纯攻击动画
Law:Judgment,,"SetStatus(""AllTarget"");
        AddEvent(""ICreateCardItem"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""])%3 == 0)
            {
                if (HandCard.Count == 0) return;
        HandCard[DefaultDice.WithRange(0, HandCard.Count - 1).Roll().Value].Reverse();
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Law:Death,,"AddEvent(""StartRound"",()=>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
        });"," if (Vars[""ThisCount""]== ""6"")
            {
                SetStatus(""AllTarget"");
                Damage(Object[0].MaxHp.ToString(),""True"");
                Damage(Object[0].MaxHp.ToString(),""True"");
            }",1,0,0,6,Icon/Buff/烬赎,指示物,4,,,
Law:Supreme,,"AddEvent(""EndRound"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""])%3 == 0)
            {
                SetStatus(""Self"");
                RemoveAllBadBuff(""0"");
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Transcendent,,"SetStatus(""Self"");
        AddEvent(""SpecialBuff_TranscendentOnLevelChange"",()=>
        {
            ChangeDynamicVar(""AttackedDefaultDamage"", ""-4"");
            ChangeDynamicVarPercent(""AttackedPercentDamage"", ""-30"");
            ChangeDynamicVarPercent(""PercentDamage"", ""30"");
            AddEvent(""Action"",()=>
            {
                SetStatus(""AllTarget"");
                ChangeHp(""-4"");
            });
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
ImmortalGodhead,,"SetStatus(""Self"");
        AddEvent(""SpecialBuff_ImmortalGodheadOnLevelChange"",()=>
        {
            ChangeDynamicVarPercent(""MaxChangeHp"", ""-65"");
        });
        AddEvent(""StartRound"",()=>{
                SetStatus(""Self"");
                AddBuff(DataId.buff_limitdamage,  ""1"");});
        AddEvent(""Hurt"",()=>{
            SetStatus(""Self"");
            AddBuff(DataId.buff_limitdamage,  ""1"");
            });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
expiation,,"AddEvent(""StartRound"",()=>{Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
        if (int.Parse(Vars[""ThisCount""])>=4)
        {
            SetStatus(""AllTarget"");ChangeHp(""15"");SetStatus(""Self"");ChangeHp(""-9999"");
PlayerInfo.GiveWin();
        }
        });
        AddEvent(""Dead"",()=>{if (int.Parse(Vars[""ThisCount""])<4)
        {
           SetStatus(""AllTarget"");ChangeHp(""-15"");
        }
        });",,1,0,0,99,Icon/Buff/烬赎,指示物,4,,,
guiltless,,"
AddEvent(""Hurt"", () =>
{
if (!Vars.ContainsKey(""ThisCount""))
{
Vars[""ThisCount""] = ""0"";
}
Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
if (int.Parse(Vars[""ThisCount""]) %4==0)
{
RandomAddCard(DataId.card_2);
}
});",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
ThievesKing,"if (int.Parse(PlayerInfo.GetTagDiff())>30)
        {
            AddDescription(""1"", ""Value"", ""10"");
            AddDescription(""2"", ""Value"", ""5"");
        }
        else
        {
            AddDescription(""1"", ""Value"", ""15"");
            AddDescription(""2"", ""Value"", ""3"");
        }","Vars[""ThisCount""] = ""0"";
        if (int.Parse(PlayerInfo.GetTagDiff())>30)
        {
            AddEvent(""Action"", () =>
            {
                ChangeMoney(""-10"");
            });
        AddEvent(""StartRound"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            else
            {
                Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            }
            if (Vars[""ThisCount""]==""5"")
            {
                EscapeFight();
            }
        });
        }
        else
        {
            AddEvent(""Action"", () =>
            {
                ChangeMoney(""-15"");
            });
        AddEvent(""StartRound"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            else
            {
                Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            }
            if (Vars[""ThisCount""]==""3"")
            {
                EscapeFight();
            }
        });
        }
        
        SetStatus(""AllTarget"");
        AddEvent(""Dead"",()=> { SetStatus(""AllTarget"");ChangeMoney(""100""); });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
UnparalleledPower,,"Vars[""ThisCount""]=""0"";
        AddEvent(""StartRound"",()=>
        {
            if (int.Parse(Vars[""ThisCount""])>2)
            {
                return;
            }
            Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
            SetStatus(""Self"");
            ChangeHp((Self.MaxHp/4*-1).ToString());
            ChangeMaxHp((Self.MaxHp/4*-1).ToString());
            GetEnemy(Self).Attack*=2;
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
believer,,"AddEvent(""Hurt"", () =>
        {
            if (Vars[""ThisCount""] == ""0"" && Self.CurHp < (Self.MaxHp / 2))
            {
                Vars[""ThisCount""] = ""2"";
                ChangeHp(""9999"");
                var enemy = GetEnemy(Self);
                int val1 = int.Parse(atk()) * 3 / 10;
                int val2 = int.Parse(def()) * 3 / 10;
                enemy.Attack += val1;
                enemy.Defend += val2;
            }
            else
            {
                return;
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
BackToBasics,,"AddEvent(""StartRound"", () =>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""])%2==0)
            {
                SetStatus(""Self"");
                RemoveBadBuff(""1"",""false"");
            }
            else
            {
                SetStatus(""AllTarget"");
                RemoveBadBuff(""1"",""true"");
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
hunting,,"SetStatus(""AllTarget"");
        AddEvent(""EndRound"", () =>
        {
            if (HandCard.Count%2==0)
            {
                Damage(atk());
            }
            else
            {
                ChangeDefence(def());
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
AllogeneicConcentric,,"SetStatus(""Self"");
               SetStatus(""AllFriendsExSelf"");
        AddEvent(""Dead"", () =>
        {
            GetEnemy(Self).Attack = GetEnemy(Self).Attack * 3 / 2;
            GetEnemy(Self).Defend = GetEnemy(Self).Defend * 3 / 2;
            Self.MaxHp = Self.MaxHp * 3 / 2;
            Self.CurHp = Self.MaxHp;
            Self.UpdateStatus();
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
TrialsOfStrength,,"SetStatus(""AllTarget"");
        AddEvent(""StartRound"",()=>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (Vars[""ThisCount""] == ""4"")
            {
                SetStatus(""AllTarget"");
                ChangeHp(""-30"");
                SetStatus(""Self"");
                EscapeFight();
        } });
        SetStatus(""Self"");
        AddEvent(""Dead"", () =>
        { PlayerInfo.Strength += 5; });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
TrialsOfTenacity,,"SetStatus(""AllTarget"");
        Vars[""ExCount""] = ""0"";
        ChangeDynamicVar(""liveCount"",""1"");
        AddEvent(""StartRound"",()=>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (Vars[""ThisCount""] == ""1"")
            {
                ChangeHp(""999"");
            }
            if (Vars[""ThisCount""] == ""4"")
                {
                    ChangeHp(""999"");
                    PlayerInfo.Perceive += 5;
                    SetStatus(""Self"");
                    ChangeHp(""-99999"");
PlayerInfo.GiveWin();
                } });
        AddEvent(""Dead"", () =>
        {
            if (Vars[""ExCount""] == ""1"")
                return;
            Vars[""ExCount""] = ""1"";
            ChangeHp(""999"");
            EscapeFight(); });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
TrialsOfWisdom,,"AddEvent(""Damage"", () =>
        {
            SetStatus(""Target"");
            int count=DefaultDice.WithRange(0,3).Roll().Value;
            switch (count)
            {
                case 0: 
                    ChangeVars(""Strength"", ""-1"");
                    break;
                case 1: 
                    ChangeVars(""Lucky"", ""-1"");
                    break;
                case 2: 
                    ChangeVars(""Wisdom"", ""-1"");
                    break;
                case 3: 
                    ChangeVars(""Perceive"", ""-1"");
                    break;
                default:
                break;
            }
        });
        AddEvent<HurtData>(""Hurt"", (fromdata) =>
        {
            if (!Self.DamageFilter.ContainsKey(fromdata.fromDataId))
            {
                Self.DamageFilter[fromdata.fromDataId] = 0f;
            }
            Self.DamageFilter[fromdata.fromDataId]+=5f;
        });
       AddEvent(""Action"", () =>
       {
           Self.DamageFilter.Clear();
       });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
meow,,"SetStatus(""Self"");
        
        if (!PlayerInfo.SpecialVars.ContainsKey(""meowCount""))
        {
            PlayerInfo.SpecialVars[""meowCount""] = ""0"";
        }
        if (PlayerInfo.SpecialVars[""meowCount""] == ""0"")
        {
            AddEvent(""SpecialBuff_meowOnLevelChange"",()=>{ChangeDynamicVar(""liveCount"", ""1"");});
            
            AddEvent(""Dead"", () =>
        {
            PlayerInfo.SpecialVars[""meowCount""] = ""1"";
            
                ChangeHp(""20"");
        });
        }",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
ManInTheMirror,,"SetStatus(""AllTarget"");Vars[""CorAtk""]=""0""; Vars[""CorDef""] = ""0"";
        AddEvent<ActionData>(""Action"", (data) =>
        {
            if (data.data.data[""Type""].Contains(""攻击""))
            {
                Vars[""CorAtk""] = ""1"";
            }
            if (data.data.data[""Type""].Contains(""技能""))
            {
                Vars[""CorDef""] = ""1"";
            }
        });
        SetStatus(""Self"");
        AddEvent(""StartRound"", () =>
        {
            if (Vars[""CorAtk""] == ""1"")
            {
                SetStatus(""AllTarget"");
                Damage(atk());
            }
            if (Vars[""CorDef""] == ""1"")
            {
                SetStatus(""Self"");
                ChangeDefence(def());
            }
            Vars[""CorAtk""] = ""0"";
            Vars[""CorDef""] = ""0"";
            SetStatus(""Self"");
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Phoenix,,"Vars[""ThisCount""]=""0"";
       Self.DamageFilter[DataId.buff_burn]=0f;
        void RoundEffect()
        {
          if (int.Parse(Vars[""ThisCount""]) %2== 0)
          {
            AddBuff(DataId.buff_impregnable,""8"");
            Self.DamageFilter[DataId.buff_burn]=0f;
          }  
          else
          {
            RemoveBuff(DataId.buff_impregnable);
           Self.DamageFilter[DataId.buff_burn]+=100f;
          }
          Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
        };
        RoundEffect();
        AddEvent(""StartRound"",()=>
        {
            RoundEffect();
            
         });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Snitch,,"SetStatus(""AllTarget"");
        AddEvent<ActionData>(""Action"", (data) =>
        {
            if (data.data.data[""Type""].Contains(""技能"")||data.data.data[""Type""].Contains(""防御""))
            {

                int a = CheckDice.Roll().Value;
                SetStatus(""Self"");
                if (a > 60)
                {
                    DoAction(""0"");
                }
                else
                {
                    ChangeHp(((int)(Self.CurHp * (-0.05f))).ToString());
                }
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Priest,,"SetStatus(""AllTarget"");
        AddEvent(""Action"",()=>
        {
            int a = 0;
            foreach (var item in HandCard)
            {
                if (item.dataConfig.data[""Type""].Contains(""诅咒""))
                {
                    a += 1;
                }
            }
            if (a>=2)
            {
                Damage(atk());
            }
         });
        SetStatus(""Self"");
        AddEvent(""Hurt"", () =>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) %4==0&&int.Parse(Vars[""ThisCount""])<25)
            {
                RandomAddCard(DataId.cursecard_11);
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Twins,,"Vars[""ThisCount""]=""0"";
        SetStatus(""AllFriendsExSelf"");
               AddEvent(""Dead"",()=>
               {

                   if (Self == null || Self.CurHp <= 0||Vars[""ThisCount""]==""1"")
                   {
                       return;
                   }
                   Vars[""ThisCount""]=""1"";
                   SetStatus(""Self"");
                   AddBuff(DataId.buff_impregnable,  ""2"");
                   AddBuff(DataId.buff_extraordinary,  ""30"");
                   AddBuff(DataId.buff_thorns,""3"");
               });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Musician,," SetStatus(""AllTarget"");
        Vars[""ThisCount""] = ""0"";
        AddEvent(""Action"",()=>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) % 4 == 0)
            {
                int b = HandCard.Count;
                ThrowCard(b.ToString(), ""0"");
                DrawCount(b.ToString());
            }
            if (int.Parse(Vars[""ThisCount""])>15)
            {
                AddBuff(DataId.buff_chaos,""1"");
            }
         }
        );",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
ThirstForBlood,,"AddBuff(DataId.buff_bloodsea,  ""1"");
            SetStatus(""AllTarget"");
            AddBuff(DataId.buff_bloodriver,  ""3"");",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
