Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action
唯一的标识（不能重复）,稀有度,花费,标签,卡牌初始化脚本,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效路径,动作
1,1,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(6+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy"");AddBuff(""buff_bleeding"", ""6"");",,Icon/Card/血刃术,溅血,Skill
2,2,0,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(2+int.Parse(Vars[""CorBuff""])).ToString();Vars[""DesVal2""]=(2+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""Self"");AddBuff(""buff_bleeding"", ""2"");AddBuff(""buff_impregnable"", ""2"");",,Icon/Card/血盾术,自我溅血,
3,3,0,"Burnout, Retain","Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(10+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""All"");
 int count=0;
 foreach (var item in Object)
 {
 var buff = item.buffBarUI.GetBuff(""buff_bleeding"");
 if (buff==null)
 {
 continue;
 }
 count+=buff.buffConfig.Level*2;
 buff.ClearBuff();
 }
SetStatus(""Self"");
ChangeHp(count.ToString());",,Icon/Card/公爵绶带,溅血,
4,2,1,,"Vars[""BaseScript""]=""CommonCardItem"";",,"if (Self.buffBarUI.GetBuff(""buff_bleeding"") == null) return;
string count=(Self.buffBarUI.GetBuff(""buff_bleeding"").buffConfig.Level*2).ToString();
SetStatus(""AllEnemy"");
AddBuff(""buff_bleeding"",  count);
SetStatus(""Self"");
Self.RemoveBuff(""buff_bleeding"");",,Icon/Card/苦痛转移,溅血,Skill
5,2,2,,"Vars[""BaseScript""]=""AttackCardItem"";Vars[""DesVal1""]=(2+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy"");AddBuff(""buff_bleeding"", ""2"");
SetStatus(""Target"");
 foreach (var item in Object)
 {
 var buff= item.buffBarUI.GetBuff(""buff_bleeding"");
 if (buff!=null)
 {
 buff.buffConfig.Level *=2;
 buff.status.UpdateDisplay();
 
 }
 }",,Icon/Card/炽烈穿刺,溅血,
6,2,0,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(2+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy""); AddBuff(""buff_bleeding"", ""2"");
        var TempObject = Object.ToList();
        foreach (var item in TempObject)
        {
            var tempItem = item;
            SetStatusById(tempItem.InstanceId);
            AddEvent(""Dead"", () =>
            {
                if (item.buffBarUI == null)
                {
                    return;
                }
                var buff = item.buffBarUI.GetBuff(""buff_bleeding"");
            SetStatus(""AllEnemy"");
            if (buff != null)
            {
                AddBuff(""buff_bleeding"", (buff.buffConfig.Level * 2).ToString());
            }
            });
        }",,Icon/Card/透骨钉,溅血,
7,2,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(2+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy"");AddBuff(""buff_bleeding"", ""2"");
SetStatus(""All"");
int lastcount = 0;
int count = Object.Count();
while(count != lastcount && count >1)
{
 RunImmediately(""buff_bleeding"",""Action"");
 lastcount = count;
 SetStatus(""All"");
 count = Object.Count();
}",,Icon/Card/血月,溅血,
8,2,1,,"Vars[""BaseScript""]=""AttackCardItem"";Vars[""DesVal1""]=(2+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""Self"");
AddBuff(""buff_bleeding"", ""2"");
SetStatus(""Target"");
 for (int i = 0; i < 2; i++)
 {
 RunImmediately(""buff_bleeding"", ""Action"");
 }",,Icon/Card/血爆术,溅血,
9,2,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(3+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy"");AddBuff(""buff_bleeding"", ""3"");
Self.DamageFilter[""buff_bleeding""]=false;
 SetStatus(""Self"");
 AddEvent(""EndRound"", ()=>{
 if (Self.DamageFilter.ContainsKey(""buff_bleeding""))
 {
 if (Self.DamageFilter[""buff_bleeding""]==false)
 {
 Self.DamageFilter.Remove(""buff_bleeding"");
 } 
 }
 });",,Icon/Card/莉莉丝契约,溅血,Skill
10,3,0,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";
        if (Self!=null&&Self.buffBarUI!=null&&Self.buffBarUI.GetBuff(""buff_bleeding"")!=null)
        {
            Vars[""Usable""]=int.Parse(Self.buffBarUI.GetBuff(""buff_bleeding"").buffConfig.Level.ToString())<6 ? ""0"": ""1"";
        }
       else{Vars[""Usable""]=""0"";}",,"SetStatus(""All"");
 int count=0;
 foreach (var item in Object)
 {
 if (item.buffBarUI.GetBuff(""buff_bleeding"")!=null)
 {
 count++;
 }
 }
 for (int i = 0; i < count; i++)
 {
 RunImmediately(""buff_bleeding"", ""Action"");
 }",,Icon/Card/放血仪式,溅血,Skill
11,2,0,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(3+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy""); AddBuff(""buff_bleeding"", ""3"");
        int count = 0;
        foreach (var item in Object)
        {
            if (item == null || item.buffBarUI == null)
            {
                return;
            }
            var buff = item.buffBarUI.GetBuff(""buff_bleeding"");
            if (buff == null)
            {
                continue;
            }
            count += buff.buffConfig.Level / 5;
        }
        SetStatus(""Self"");
        RandomAddBuff(count.ToString());",,Icon/Card/祭祀者加护,溅血,
12,3,0,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(1+int.Parse(Vars[""CorBuff""])).ToString();Vars[""DesVal2""]=(3+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""Self"");
 AddBuff(""buff_bloodriver"", ""1"");
SetStatus(""AllEnemy"");AddBuff(""buff_bleeding"", ""3"");",,Icon/Card/饮血者加护,溅血,Skill
*13,2,0,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(1+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy"");AddBuff(""buff_bloodsea"", ""1"");",,Icon/Card/盛宴,溅血,Skill
