Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action
唯一的标识（不能重复）,稀有度,花费,标签,卡牌初始化脚本,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效路径,动作
1,2,2,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?(Self.DefenceCalculate(6+int.Parse(Vars[""CorDef""]))).ToString():(6+int.Parse(Vars[""CorDef""])).ToString();Vars[""DesVal2""]=(60+int.Parse(Vars[""CorMoney""])).ToString();",,"ChangeDefence(""6"");
        SetStatus(""Self"");
        ChangeRound();
        ChangeMoney(""60"");",,Icon/Card/黄金时代,获得金币,
*2,2,1,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?Self.DamageCalculate(4+int.Parse(Vars[""CorAtk""])).ToString():(4+int.Parse(Vars[""CorAtk""])).ToString();",,"var cards = HandCard
         .Where(card => card != null&&(!card.dataConfig.data[""Tag""].Contains(""Froze"")))
         .ToList();
        if (!cards.Any()) return;
        int i = 1;
        int count = cards.Count;
        foreach (var card in cards)
        {
            card.Burning(0.2f * i);
            i++;
        }

        PlayerInfo.Money += count * 45;
        if (count >= 2)
        {
            SetStatus(""AllRandomEnemy1"");
            Damage(""8"");
        }
        if (count >= 4)
        {
            SetStatus(""Self"");
            DrawCount(ValueDice.WithRange(1, 4).Roll().Value.ToString());
            ChangePower(ValueDice.WithRange(1, 4).Roll().Value.ToString());
        }
        if (count >= 6)
        {
            SetStatus(""AllRandomEnemy1"");
            Damage(""5"");
            SetStatus(""Self"");
            DrawCount(ValueDice.WithRange(1, 4).Roll().Value.ToString());
            ChangePower(ValueDice.WithRange(1, 4).Roll().Value.ToString());
        }",,Icon/Card/统合之约,获得金币,Skill
3,2,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?Self.DamageCalculate(5+int.Parse(Vars[""CorAtk""])).ToString():(5+int.Parse(Vars[""CorAtk""])).ToString();",,"        int count=PlayerInfo.Money/50;
        SetStatus(""AllEnemy"");
        Damage((5 * count).ToString());
        PlayerInfo.Money -= count * 25;",,Icon/Card/乾坤一掷,获得金币,Skill
4,3,1,Recycle,"Vars[""BaseScript""]=""CommonCardItem"";",,"if (!Vars.ContainsKey(""ThisCount""))
        {
            Vars.Add(""ThisCount"", ""0"");
        }
        Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
        SetStatus(""Self"");
        for (int i = 0; i < int.Parse(Vars[""ThisCount""]); i++)
        {
            int count= ValueDice.Roll().Value;
            if (count >= 50)
            {
                PlayerInfo.Money+= Math.Min((int)(PlayerInfo.Money*0.2f),800);
            }
            else
            {
                PlayerInfo.Money-= Math.Min((int)(PlayerInfo.Money*0.1f),400);
                ChangeHp((-Self.MaxHp/10).ToString());
            }
        }
        if (int.Parse(Vars[""ThisCount""]) >= 7)
        {
            Vars[""NeedRemove""] = ""True"";
        }",,Icon/Card/诅咒炼金,获得金币,
5,3,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(3+int.Parse(Vars[""CorDraw""])).ToString();",,"BurnCard(""2"", ""2"");
List<Dictionary<string, string>> cards = GetcardsByRarity(""2"", ""3"").Where(x => !x[""Id""].Contains(""*"")&&(x[""Type""]!=""诅咒"")).ToList();
        for (int i = 0; i < 3; i++)
        {
            AddCard(cards[DefaultDice.WithRange(0, cards.Count - 1).Roll().Value][""Id""]);
        }
        DrawCount(""3"");",,Icon/Card/灵光一闪,,
6,3,1,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=(1+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""Self"");
        AddBuff(""buff_reverie"",""1"");",,Icon/Card/幻想酊剂,强化,
7,2,1,,"Vars[""BaseScript""]=""CommonCardItem"";","List<Dictionary<string, string>> list = GetcardsByRarity(""3"", ""3"").Where(x => x[""Type""].Contains(""技能牌"")).ToList();
        int count=DefaultDice.WithRange(0, list.Count - 1).Roll().Value;
        dataConfig.data[""Id""] = list[count][""Id""];
        dataConfig.data[""UseScript""] = list[count][""UseScript""];
        dataConfig.data[""Description""]= list[count][""Description""];
        dataConfig.data[""InitScript""]= list[count][""InitScript""];
        ScriptDict.Remove(""UseScript"");
        ScriptDict.Remove(""InitScript"");
        foreach (var item in HandCard)
        {
            if (item.dataConfig==dataConfig)
            {
                item.DataUpdate();
            }
        }",,,Icon/Card/不稳定思绪,强化,
8,2,0,,"Vars[""BaseScript""]=""CommonCardItem"";",,"if (Vars.ContainsKey(""Should""))
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
                Vars[""Should""] = ""1"";
            }
            Vars[""Should""] = (int.Parse(Vars[""Should""]) + 1 ).ToString();
        }
        else
        {
            Vars[""Should""] = ""1"";
            Vars[""ThisCount""] = ""0"";
        }
        AddEvent(""OnDiceValue"", () =>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) <= int.Parse(Vars[""Should""]))
            {
                ValueDice.OnRoll += result => {
            var result2 = ValueDice.InternalRoll();
            result.CopyTo(result+result2);
            };
            }
        });",,Icon/Card/奖励骰,强化,
9,2,0,,"Vars[""BaseScript""]=""CommonCardItem"";",,"if (Vars.ContainsKey(""Should""))
        {
            Vars[""Should""] = (int.Parse(Vars[""Should""]) + 1 ).ToString();
             if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
                Vars[""Should""] = ""1"";
            }
        }
        else
        {
            Vars[""Should""] = ""1"";
            Vars[""ThisCount""] = ""0"";
        }
        AddEvent(""OnDiceCheck"", () =>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) <= int.Parse(Vars[""Should""]))
            {
                CheckDice.OnRoll += result => {
            var result2 = CheckDice.InternalRoll(); result.CopyTo(new(Math.Min (result.Value,result2.Value),result.Bonus));
            };
            }
        });",,Icon/Card/惩罚骰,强化,
