Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action
唯一的标识（不能重复）,稀有度,花费,标签,卡牌初始化脚本,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效路径,动作
1,1,1,Instant,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?Self.DamageCalculate(8+int.Parse(Vars[""CorAtk""])).ToString():(8+int.Parse(Vars[""CorAtk""])).ToString();Vars[""DesVal2""]=(2+int.Parse(Vars[""CorBuff""])).ToString();",,"SetStatus(""AllEnemy"");AddBuff(""buff_burn"",""2"",(2+int.Parse(Vars[""CorBuff""])).ToString());Damage((8).ToString());",,Icon/buff/治愈光环,,
2,2,0,"Froze, Burnout","Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=""2"";",,"var pow=PlayerInfo.Power;SetPower(pow>2?pow.ToString():""2"");",,Icon/buff/治愈光环,,
3,3,0,Froze,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?(Self.DefenceCalculate(5+int.Parse(Vars[""CorDef""]))).ToString():(5+int.Parse(Vars[""CorDef""])).ToString();Vars[""DesVal2""]=""2"";",,"SetStatus(""Self"");
 ChangeDefence(""5"");
 var buffContent = Self.buffBarUI;
 var buff = buffContent.GetBuff(""buff_instant"");
 if (buff!=null)
 {
 buff.buffConfig.duration+=2; 
 }",,Icon/buff/治愈光环,,
4,3,2,"Burnout,Froze","Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=""2"";",,"var buffContent = Self.buffBarUI;
 var buff = buffContent.GetBuff(""buff_instant"");
 if (buff == null)
 {
 return;
 }
 for (int i = 0; i < 2; i++)
 {
 var list = buff.effectList.ToList();
 while (list.Count > 0)
 {
 list[0].action();
 list.RemoveAt(0);
 }
 }
 buff.buffConfig.Duration = -1;
 buff.DurationCheck(""ReducePerTurn"");",,Icon/buff/治愈光环,,Skill
5,2,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?(Self.DefenceCalculate(5+int.Parse(Vars[""CorDef""]))).ToString():(8+int.Parse(Vars[""CorDef""])).ToString();",,"SetStatus(""Self"");
ChangeDefence(""8"");
var buffContent = Self.buffBarUI;
var buff = buffContent.GetBuff(""buff_instant"");
if (buff == null) return;
var list = buff.effectList.Reverse().ToList();
while (buff.effectList.Count > 0)
{
buff.effectList.RemoveAt(0);
}
foreach (var item in list)
{
 buff.effectList.Add(item);
}",,Icon/buff/治愈光环,,
6,3,0,Froze,"Vars[""BaseScript""]=""CommonCardItem"";",,"var buffContent = Self.buffBarUI;
 var buff = buffContent.GetBuff(""buff_instant"");
 if (buff == null)
 {
 return;
 }
 var list = buff.effectList.ToList();
 while (list.Count > 0)
 {
 if (CheckDice.Roll().Value <=50)
{
 list[0].action();
}
 list.RemoveAt(0);
 }",,Icon/buff/治愈光环,,Skill
7,4,2,Froze,"Vars[""BaseScript""]=""CommonCardItem"";",,"var buffContent = Self.buffBarUI;
 var buff = buffContent.GetBuff(""buff_instant"");
 if (buff == null)
 {
 return;
 }
 var list = buff.effectList.ToList();
 while (list.Count > 0)
 {
 list[0].action();
 list.RemoveAt(0);
 }",,Icon/buff/治愈光环,,Skill
8,4,1,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=""1"";",,"var buffContent = Self.buffBarUI;
 var buff = buffContent.GetBuff(""buff_instant"");
 buff?.effectList.First().action();
 buff?.effectList.First().action();",,Icon/buff/治愈光环,,Skill
9,5,2,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""]=Self!=null?Self.DamageCalculate(6+int.Parse(Vars[""CorAtk""])).ToString():(3+int.Parse(Vars[""CorAtk""])).ToString();","var buffContent = Self.buffBarUI;
 var buff = buffContent.AddLevel(""buff_instant"", 1, 1).GetBuff(""buff_instant"");
 buff.effectList.Add((dataConfig, () => { RunScript(""UseScript""); }));","SetStatus(""AllRandomEnemy3"");Damage(""6"");",,Icon/buff/治愈光环,,
