Id,Type,NodeId,Level
地图id,种类,对应种类的节点Id,对应出现层数
1,Build,shop,0
2,Event,,0
3,Fight,level_10001,0
4,Fight,level_10002,0
5,Fight,level_10003,0
6,Fight,level_10004,0
7,Fight,level_10005,0
8,Fight,level_10006,0
9,Fight,level_10007,0
10,Fight,level_10008,0
11,Fight,level_10009,0
12,Fight,level_10010,0
13,Fight,level_10011,0
14,Fight,level_10012,1
15,Fight,level_10013,1
16,Fight,level_10014,1
17,Fight,level_10015,1
18,Fight,level_10016,1
19,Fight,level_10017,1
20,Fight,level_10018,2
21,Fight,level_10019,2
22,Fight,level_10020,1
23,Fight,level_10021,2
24,Fight,level_10022,1
25,Fight,level_10023,1
26,Build,tree,0
27,Fight,level_10024,1
28,Fight,level_10025,1
29,Build,Breaks,0
*0,Fight,level_*0,2
30,Fight,level_10026,2
31,Fight,level_10027,2
32,Fight,level_10028,2
33,Fight,level_10029,0
34,Fight,level_10030,1
35,Fight,level_10031,2
36,Fight,level_10032,1
37,Fight,level_10033,2
38,Fight,level_10034,1
