Id,Note,Name,Name_en,Name_ja,第 1 列,Description1,Description1_zh-Hant,Description1_en,Description1_ja,Description2,Description2_zh-Hant,Description2_en,Description2_ja,Level
Id,备注,名字,,,FALSE,<main>图鉴特性1</main>,,,,,,,,出没层数
10001,,普拉提黏黏,Platy Slime,プラティスライム,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,<title>果冻</title><main>弱小的低阶魔物，看起来很好吃</main>,<title>果凍</title><main>弱小的低階魔物，看起來很好吃</main>,<main>[Jelly] A weak low-level monster that looks tasty</main>,<title>ゼリー</title><main>弱い下級モンスターで、美味しそうに見える</main>,1
10002,,红心女仆,Fragile Heart,ハートのメイド,TRUE,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<main>[Growing Malice] Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,2
10003,,鼹鼠,Mole,モグラ,TRUE,<title>谋财为先</title><main>能够偷取金币</main>,<title>谋财为先</title><main>能够偷取金币</main>,<title>谋财为先</title><main>[Untranslated] 能够偷取金币</main>,<title>谋财为先</title><main>能够偷取金币</main>,<title>走为上计</title><main>收获足够战利品或者生命低下时会逃跑</main>,<title>走為上計</title><main>獲得足夠戰利品或生命值過低時會逃跑</main>,<main>[Run Away] Flees when it has enough loot or low HP</main>,<title>逃げるが勝ち</title><main>戦利品が十分あるか体力が低い時に逃げる</main>,1
10004,,灾厄先兆,The Greedy,災厄の前兆,TRUE,<title>灾厄一角</title><main>最为温和的一种灾厄</main>,<title>災厄一角</title><main>最溫和的一種災厄</main>,<main>[Disaster Fragment] The mildest type of calamity</main>,<title>災厄の一部</title><main>最も穏やかな災厄の形</main>,,,,,1
10005,,猎食者,Unknown Mollusk,捕食者,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<main>[Squad] A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10006,,垂涎,Drooling Beast,垂涎,FALSE,<title>侵蚀护盾</title><main>能够清除魔女的护盾</main>,<title>侵蝕護盾</title><main>能夠解除魔女的護盾</main>,<main>[Corrosive Shield] Can remove the witch's shield</main>,<title>浸食シールド</title><main>魔女のシールドを消すことができる</main>,,,,,1
10007,,失心魔女,Mindless Witch,心を失った魔女,TRUE,<title>魔女躯壳</title><main>复制魔女的属性</main>,<title>魔女軀殼</title><main>複製魔女的屬性</main>,<main>[Witch's Shell] Copies the witch's attributes</main>,<title>魔女の殻</title><main>魔女の特性をコピーする</main>,,,,,2
10008,,最后一餐,Last Supper,最後の晩餐,FALSE,<title>侵蚀护盾</title><main>能够清除魔女的护盾</main>,<title>侵蝕護盾</title><main>能夠解除魔女的護盾</main>,<main>[Corrosive Shield] Can remove the witch's shield</main>,<title>浸食シールド</title><main>魔女のシールドを消すことができる</main>,,,,,1
10009,,梅花侍从,Club Servant,クラブの従者,TRUE,<title>永生者</title><main>难以被杀死</main>,<title>永生者</title><main>難以被殺死</main>,<main>[Immortal] Hard to kill</main>,<title>不死者</title><main>倒しにくい</main>,<title>勇者剑道</title><main>使用反击作为攻击手段</main>,<title>勇者劍道</title><main>以反擊作為攻擊手段</main>,<main>[Heroic Swordsmanship] Uses counterattacks as offense</main>,<title>勇者の剣術</title><main>反撃を攻撃手段として使う</main>,2
