Id,Note,Name,Name_en,Name_ja,TotalDescribe,TotalDescribe_en,TotalDescribe_ja,1Describe,1Describe_en,1Describe_ja,2Describe,2Describe_en,2Describe_ja,3Describe,3Describe_en,3Describe_ja,4Describe,4_Describe_en,4Describe_ja,CompareUse_ja,CompareUse_en,CompareUse
Id,备注,名字,Name,,整体文本,,,,,,,,,,,,,,,,,
*999,,黑潮-序幕,Black Tide - Prologue,黒き潮流 - プロローグ,<main>  你的眼前是一处破败不堪的圣所，好在圣泉尚未枯竭。</main>,"<main>  Before you lies a dilapidated sanctuary, but fortunately, the holy spring has not yet dried up.</main>",<main>  目の前には荒れ果てた聖域が広がっているが、幸いにも聖なる泉はまだ枯れていない。</main>,"<main>  前去疗伤……</main>
<add></add>
<subtip>  你沐浴在圣泉中，疲惫一扫而空。(生命+30%)</subtip>","<main>  Go to heal...</main>
<add></add>
<subtip>  You bathe in the holy spring, and your fatigue disappears. (HP+30%)</subtip>","<main>  傷を癒しに行く……</main>
<add></add>
<subtip>  聖なる泉に身を浸すと、疲労は一掃された。(HP+30%)</subtip>","<main>  继续前进</main>
<add></add>
<subtip>  你继续前进</subtip>","<main>  Keep moving forward</main>
<add></add>
<subtip>  You move on</subtip>","<main>  先へ進む</main>
<add></add>
<subtip>  あなたは先へ進んだ</subtip>",,,,,,,,,
Sub_*999_2,,黑潮-序幕,Black Tide - Prologue,黒き潮流 - プロローグ,<main>  哪怕在黑潮之下有倾覆之危，仍有人囤货居奇，想发一笔横财</main>,"<main>  Even under the threat of the Black Tide, there are still those who hoard goods, hoping to make a fortune.</main>",<main>  黒き潮流による崩壊の危機に瀕してもなお、一儲けを企んで物資を買い占める者がいる。</main>,"<main>  驻足购买</main>
<add></add>
<subtip>  “时间就是金钱”我的朋友。</subtip>","<main>  Stop to buy</main>
<add></add>
<subtip>  Time is money, my friend.</subtip>","<main>  立ち寄って購入する</main>
<add></add>
<subtip>  「時は金なり」ですよ、友よ。</subtip>","<main>  继续前进</main>
<add></add>
<subtip>  你继续前进</subtip>","<main>  Keep moving forward</main>
<add></add>
<subtip>  You move on</subtip>","<main>  先へ進む</main>
<add></add>
<subtip>  あなたは先へ進んだ</subtip>",,,,,,,,,
*1000,,终焉,The End,終焉,"<main>  要结束了吗,数千年的末世会在今日终结吗</main>",<main>  Is it ending? Will the millennia-long apocalypse finally conclude today?</main>,<main>  終わるのか？数千年にわたる終末は、今日、終わりを迎えるのか？</main>,"<main>  回望众生</main>
<add></add>
<subtip>  众生用最后的希望为你赐福(恢复30%生命,随机获得4个祝福)</subtip>","<main>  Look back at the masses</main>
<add></add>
<subtip>  The masses grant you their final blessing (Recover 30% HP, get 4 random blessings)</subtip>","<main>  衆生を振り返る</main>
<add></add>
<subtip>  衆生は最後の希望であなたを祝福する(HP30%回復、ランダムな祝福を4つ獲得)</subtip>","<main>  直面神明</main>
<add></add>
<subtip>  祂的恶意不能阻挡你(恢复30%生命,随机获得4个祝福)</subtip>","<main>  Face the divine</main>
<add></add>
<subtip>  His malice cannot stop you (sentient beings give you the last 4 blessings, 30% life recovery)</subtip>","<main>  神と対峙する</main>
<add></add>
<subtip>  彼の悪意はあなたを止められない(衆生は最後の祝福を4つ与え、HPが30%回復する)</subtip>",,,,,,,,,
Sub_*1000_2,,终焉,The End,終焉,"<main>  祂笑了,""你知道吗,数千年前的那些小虫子也是你这样自信的""</main>","<main>  He smiled, ""You know, those little bugs thousands of years ago were just as confident as you.""</main>",<main>  彼は笑った。「知っているか？数千年前のあの小虫どもも、お前のように自信満々だったぞ」</main>,"<main>  这一次不会一样!</main>
<add></add>
<subtip>  战斗一触即发</subtip>","<main>  Not the same this time!</main>
<add></add>
<subtip>  Battle is about to break out</subtip>","<main>  今回は違う！</main>
<add></add>
<subtip>  戦いは間もなくだ</subtip>","<main>  你,也配高高在上吗</main>
<add></add>
<subtip>  战斗一触即发</subtip>","<main>  You? Do you deserve to stand above?</main>
<add></add>
<subtip>  The battle is about to break out</subtip>","<main>  お前ごときが、高みに立つ資格などあるか</main>
<add></add>
<subtip>  戦いは間もなくだ</subtip>",,,,,,,,,
1,,锈蚀齿轮,Rusted Gear,錆びた歯車,"<main>  天谴？还是赐福？魔女脑中那根绷紧的弦此刻正濒临断裂，失忆也许就在下一秒
你知道忘记一切意味着什么……但有时，这也不失为一种战术的选择</main>
<tip=exclaim>真的到了必须忘记一切的地步了吗？</tip>
<subtip>  神经颤鸣</subtip>","<main>  Divine punishment? Or a blessing? The string in the witch's mind is about to snap; amnesia may come at any moment.
You know what it means to forget everything... but sometimes, this too can be a tactical choice.</main>
<tip=exclaim>Has it really come to the point where you must forget everything?</tip>
<subtip>  Nerve tremor</subtip>","<main>  天罰か？それとも祝福か？魔女の脳内で張り詰めた糸は今にも切れそうだ。記憶喪失は次の瞬間にも訪れるかもしれない。
すべてを忘れることが何を意味するのか、あなたは知っている……だが時には、それも戦術的な選択となりうる。</main>
<tip=exclaim>本当にすべてを忘れなければならないほど追い詰められているのか？</tip>
<subtip>  神経の震え</subtip>","<main>  让一切从头再来</main>
<add>拥抱混沌</add>
<subtip>将你装备的所有卡牌和遗物替换为随机卡牌和遗物，恢复所有生命值并获得100金币</subtip>","<main>  Let everything start over -</main>
<add>Embrace chaos</add>
<subtip>  Replace all your equipped cards and relics with random ones, restore all HP and gain 100 gold</subtip>","<main>  すべてをやり直す</main>
<add>混沌を受け入れる</add>
<subtip>  装備している全てのカードと遺物をランダムなものに交換し、HPを全回復して100ゴールドを獲得する</subtip>","<main>  我还能坚持</main>
<add>保持清醒</add>
<subtip>  获得祝福""皇后""*2</subtip>","<main>  I can still hold on</main>
<add>Stay sober</add>
<subtip>  Get the blessing ""Queen""*2</subtip>","<main>  まだ耐えられる</main>
<add>正気を保つ</add>
<subtip>  祝福「皇后」を獲得する*2</subtip>",,,,,,,,,
2,,灵肉延展,Flesh and Spirit Extension,霊肉の拡張,"<main>  “我听到了，她的声音。”“谁？”“另一个我……也可能是你”“我一般称之为精神分裂或者幻听”
“除非我们哪天从魔女岗位毕业，这些说法才能在生理上成立。”</main>
<tip=exclaim>我独一无二</tip>
<subtip>  接受自我</subtip>","<main>  ""I heard her voice."" ""Who?"" ""Another me... or maybe you."" ""I usually call that schizophrenia or auditory hallucination.""
""Unless we one day graduate from being witches, these terms can only be used physiologically.""</main>
<tip=exclaim>I am unique.</tip>
<subtip>  Accept yourself</subtip>","<main>  「声が聞こえた」「誰の？」「もう一人の私……あるいは、あなたかもしれない」「私はそれを統合失調症か幻聴と呼ぶわ」
「いつか私たちが魔女を卒業しない限り、その言葉は生理学的にしか成立しない」</main>
<tip=exclaim>私は唯一無二</tip>
<subtip>  自己を受け入れる</subtip>","<main>  平静心绪</main>
<add>我始终唯一</add>
<subtip>  精神+4</subtip>","<main>  Calm the mind</main>
<add>I am always the only one.</add>
<subtip>  Spirit+4</subtip>","<main>  心を落ち着ける</main>
<add>私は常に唯一</add>
<subtip>  精神+4</subtip>","<main>  复制记忆</main>
<add>“她应是你”</add>
<subtip>  获得最后一张移入装备区卡牌的复制</subtip>","<main>  Copy memory</main>
<add>""She should be you""</add>
<subtip>  Obtain a copy of the last equipped card</subtip>","<main>  記憶を複製する</main>
<add>「彼女はあなたであるべき」</add>
<subtip>  最後に装備したカードの複製を1枚獲得する</subtip>",,,,,,,,,
3,,教廷引路人,Church Guide,教会の案内人,"<main>  黑暗中一簇火苗在风中摇曳着，靠近之后才发现那是一名少女手中的提灯燃起的微光
她身着教廷的修女制服，面带微笑，对你的到来似乎并不意外“魔女小姐，您看起来很困惑，我主或能为您指明前路……”</main>
<tip=exclaim>接受指引卡牌或将发生变化</tip>
<subtip>  沐浴圣恩，重归深渊</subtip>","<main>  A flicker of flame sways in the darkness, and as you approach, you see it's the faint glow of a lantern in a young girl's hand.
She wears a nun's habit of the church, smiling as if your arrival was expected. ""Miss Witch, you look confused. Perhaps my Lord can show you the way...""</main>
<tip=exclaim>Accepting guidance may change your cards</tip>
<subtip>  Bathe in holy grace, return to the abyss</subtip>","<main>  暗闇の中、一筋の炎が風に揺れている。近づいてみると、それは少女が持つランタンの微かな光だった。
彼女は教会の修道女服を身にまとい、微笑んでいる。あなたの到来を予期していたかのようだ。「魔女様、お困りのご様子。我が主が道を示してくださるやもしれません……」</main>
<tip=exclaim>導きを受け入れるとカードが変化する可能性があります</tip>
<subtip>  聖恩に浴し、深淵へ帰る</subtip>","<main>  试试又不吃亏</main>
<add>接受指引</add>
<subtip>  选择3张卡牌，给予其随机一项词条</subtip>","<main>  No harm in trying</main>
<add>Accept guidance</add>
<subtip>  Choose 3 cards to randomly give an affix</subtip>","<main>  試してみるだけなら損はない</main>
<add>導きを受け入れる</add>
<subtip>  カードを3枚選択し、ランダムな特性を1つ付与する</subtip>","<main>  怎么看都很可疑</main>
<add>婉言谢绝</add>
<subtip>  精神+3</subtip>","<main>  Looks suspicious in every way</main>
<add>Politely refuse</add>
<subtip>  Sprite+3</subtip>","<main>  どう見ても怪しい</main>
<add>丁重に断る</add>
<subtip>  精神+3</subtip>",,,,,,,,,
4,,垃圾箱先生,Mr. Trashcan,ゴミ箱さん,"<main>  绿色的巨大塑料箱，梯形外轮廓，上书白色的三角循环符号——毫无疑问，这是一个垃圾回收箱
在这个有精灵和龙，骑士与狼人并存的魔法世界中，它就这么安静的杵在那里，丝毫没察觉到自己和周围的环境有多么撕裂
“小姐……”垃圾箱开口了，他的盖子不停上下晃动着，似乎是在模拟发音“可以给我点吃的吗……我好饿……”</main>
<tip=exclaim>吃进去可就吐不回来了</tip>
<subtip>  献点爱心吧</subtip>","<main>  A huge green plastic box, trapezoidal in shape, with a white triangular recycling symbol—undoubtedly a trash recycling bin.
In this magical world of elves and dragons, knights and werewolves, it stands quietly, oblivious to how out of place it is.
""Miss..."" the trash can speaks, its lid bobbing up and down as if mimicking speech. ""Can you give me something to eat... I'm so hungry...""</main>
<tip=exclaim>Once you eat it, you can't spit it out</tip>
<subtip>  Show some kindness</subtip>","<main>  緑色の巨大なプラスチックの箱、台形の外観、上には白い三角のリサイクルマーク――間違いなく、これはリサイクルゴミ箱だ。
エルフとドラゴン、騎士と狼男が共存するこの魔法の世界で、それは静かに佇んでおり、周囲の環境からどれほど浮いているかに全く気づいていない。
「お嬢さん……」ゴミ箱が口を開いた。その蓋は発声を真似るかのように上下に揺れている。「何か食べるものをくれませんか……お腹が空いて……」</main>
<tip=exclaim>一度食べさせたらもう戻ってこない</tip>
<subtip>  少し優しさを見せよう</subtip>","<main>  喂它点卡牌</main>
<add>知识就是食物</add>
<subtip>  获得随机卡牌和皇后祝福</subtip>","<main>  Feed it a card</main>
<add>Knowledge is food</add>
<subtip>  Gain a random card and get the blessing ""Queen""</subtip>","<main>  カードをあげる</main>
<add>知識は食料</add>
<subtip>  ランダムなカードを1枚獲得する, 祝福「皇后」を獲得する</subtip>","<main>  喂它点遗物</main>
<add>小心魔力爆炸</add>
<subtip>  获得随机遗物</subtip>","<main>  Feed it a relic</main>
<add>Beware of magic explosion</add>
<subtip>  Get random relic</subtip>","<main>  遺物をあげる</main>
<add>魔力爆発に注意</add>
<subtip>  ランダムな遺物を1つ獲得する</subtip>","<main>  我的兜比你的壳子还干净 </main>
<add>请自力更生</add>
<subtip>  无事发生</subtip>","<main>  My pockets are drier than your shell</main>
<add>Help yourself</add>
<subtip>  Nothing happens</subtip>","<main>  私の懐はあなたの殻より空っぽよ</main>
<add>ご自分でどうぞ</add>
<subtip>  何も起こらない</subtip>",,,,,,
*6,,人偶茶话会,Doll Tea Party,人形のお茶会,"<main>  一群失去魔女灵魂的人偶躯壳们菌集于此，她们举办了一场独特的茶话会，交流分享彼此的经历人偶们热情的邀请你加入，她们恳切而友善，但你能从她们的眼底里看到一丝燃烧着的渴望。
作为魔女你没法参加失魂者的派对，但你的朋友们可以为你代劳，你决定……</main>
<tip=exclaim>好奇心往往是死亡的诱因</tip>
<subtip>  但也是更进一步的机遇</subtip>","<main>  A group of soulless doll shells gather here, holding a unique tea party to share their experiences. The dolls warmly invite you to join; they are earnest and friendly, but you can see a burning desire in their eyes.
As a witch, you can't attend the party of the soulless, but your friends can act on your behalf. You decide...</main>
<tip=exclaim>Curiosity is often the cause of death</tip>
<subtip>  But also a chance to go further</subtip>","<main>  魔女の魂を失った人形の抜け殻たちがここに集い、互いの経験を分かち合うユニークなお茶会を開いている。人形たちはあなたを温かく招き入れる。彼女たちは真摯で友好的だが、その瞳の奥には燃えるような渇望が見える。
魔女であるあなたは魂なき者たちのパーティーには参加できないが、あなたの仲間たちが代わりに参加することができる。あなたは決断する……</main>
<tip=exclaim>好奇心はしばしば死を招く</tip>
<subtip>  しかし、さらなる高みへの機会でもある</subtip>","<main>  让队友/随从代替我参与</main>
<add>参与茶话会</add>
<subtip>  下一层刷新事件【茶话后日谈】</subtip>","<main>  Let my teammate/follower join in my stead</main>
<add>Join the tea party</add>
<subtip>  Next level refreshes the event [Tea Party Epilogue]</subtip>","<main>  仲間/従者に代わりに参加させる</main>
<add>お茶会に参加する</add>
<subtip>  次の階層でイベント【お茶会の後日談】が発生する</subtip>","<main>  离开</main>
<add></add>
<subtip>  离开</subtip>","<main>  Leave</main>
<add></add>
<subtip>  Leave</subtip>","<main>  立ち去る</main>
<add></add>
<subtip>  立ち去る</subtip>",,,,,,,,,
