Id,Note,Chapter,Name,Description,Tip,Text
Id,备注,所属章节,标题,简要介绍,Tip,描述正文
1,,战斗,魔力,基础四属性之一,基础属性,"在战斗中,魔力会赋予卡牌无与伦比的威力。每点魔力提供0.03的独立乘区伤害"
2,,战斗,幸运,基础四属性之一,基础属性,每点幸运额外提供0.2的祝福上限和一定量的判定优势
3,,战斗,精神,基础四属性之一,基础属性,"在战斗中,精神会赋予角色强大的随机应变能力,足以应付各式各样的战斗。每点智慧提供-0.2的战斗牌下限，2的战斗牌上限，0.5的备选牌上限"
4,,战斗,感知,基础四属性之一,基础属性,"在战斗中,感知会为角色取得先机,最终获得制胜的优势。每点感知提供1%的看破概率和0.04防御额外乘区"
5,,战斗,韧性,怪物机制,,"每次受到攻击时，韧性-1。将会如果怪物在一个回合被多次攻击导致韧性清空,则会受到50%额外伤害。"
6,,战斗,能量,战斗机制,改变,"玩家可以通过消耗能量使用真理卡牌，每回合会自动将能量恢复到上限,超过上限的能量每回合将会保留。"
7,,万象,遗物,战斗机制,最后的馈赠,"在探索中,玩家会获得各种遗物,遗物来源于世间万物,因生灵对真理的追求而获得魔力"
8,,万象,祝福,探索机制,万灵的祈愿,"尽管世界已经处于破灭的边缘,人们还是相信会有人挺身而出拯救这一切"
9,,万象,此岸,世界观,"飞升,或者沉沦","当黄金时代的法师们选择众生飞升时,未名的黑潮覆灭了黄金时代,天地间只留下了寥寥几个聚集地和三条道路"
10,,万象,神祗-1,世界观,不朽不灭,在一些神话中，神祗创造了世界，在不可知的混沌中开辟了秩序，祂们是形而上的伟大存在
11,,万象,神祗-2,世界观,不朽不灭,当然，黄金时代的法师们认为，不少活跃在近代的神祗都来源于凡人登神。神祗，或许只是目前强大到无法理解的生物罢了
12,,万象,黑潮,世界观,循环,"一切飞升失败者的遗骸都会融入黑潮,祂不断的狩猎一个个飞升者文明"
13,,万象,贪婪之路,世界观,欲壑难填,"飞升失败并不是终点,众生还有最后一次抉择的机会,是坚守本心浴火重生,还是欲壑难填永世沉沦?"
14,,万象,真理卡牌,世界观,有涯无涯,或许人身有穷，但是众生仍然可以通过真理卡牌等手段窥视真理的一角
15,,万象,灾,四本源说,命定的归宿,灾是结局，是存在命定的归宿，是绝对的无。灾一视同仁地将存在湮于虚空，无一能够幸免。<br>灾带来毁灭，某种意义上也象征着新生。
16,,万象,宙,四本源说,永恒的运动,宙是一切运动的驱力，其推动着存在演变。宙存在于事物存在，并推动其湮于灾，亦或归于矩。<br>宙的存在，使得任何存在都拥有着最大的自由。没有存在可以逃脱之，没有存在可以被禁锢。或许，存在从宙那获得的最大的不自由，便是没法自由地剥夺自己的自由。
17,,万象,矩,四本源说,肇始的规定性,矩是最初的规定性，是存在之本质。矩是存在对灾的反抗。<br>矩会自发地维系自身的存在，为此，存在不惜攫取其他存在的矩为所用。<br>为高效地实现对矩的攫取，矩可能自发地衍生出对其他存在分析、解构的能力。
18,,万象,灵,四本源说,不可言说物,灵是对存在本源的一切规定之剩余，故而其不可规定。<br>灵不可规定，但其确实地存在，并且发挥着作用。或许，它是一座桥梁，沟通着此岸于彼岸。
19,,冒险,地图,地图选择,,你需要规划好接下来的行动，将地图节点移入空格中分配位置，这决定了接下来将遇到的挑战。
20,,冒险,背包,卡组编辑,,点击左下角的卡牌，即可进行卡组编辑。你可以通过“拖拽”和“右键”的方式操作。
21,,冒险,炼金,炼金,无中生有,可以将一些带有<color=yellow>本质成分</color>的物体进行炼金，并可以在可以在休息点进行炼金成品的镶嵌。
