Id,Note,Name,Description,是否需要重新包装,AttributeText
地图id,备注,名字,描述,,
1,建筑,魔法商店,<color=green>安全</color><br>褪色招牌垂着星月风铃，货架阴影中伸出猫爪调整价签。,,并不等价的交换
2,普通事件,神秘事件,<color=grey>未知</color><br>大千世界总有种种奇遇。,,未知的旅途
3,精英,贪婪者的微笑,<color=red>困难</color><br>黄金面具裂开至耳根的嘴部，舌头上镶嵌着所有受害者的眼球。,,
4,首领,淤泥之花,,是,
5,精英,贼王,<color=red>困难</color><br>请柬用蜕皮书写，墨水是正在凝结的脓血。,,
6,精英,骗子,<color=yellow>普通</color><br>他左眼映出你的渴望，右眼呈现你要付出的代价。,,
7,普通,绝望者,<color=yellow>普通</color><br>你们会是同类。,,
8,精英,诡异森林,<color=red>困难</color><br>树干表面浮动着人脸年轮，所有树冠都朝着与你相反的方向摇摆。,,
9,普通,诡异沼泽,<color=yellow>普通</color><br>气泡破裂释放记忆碎片：上一个溺亡者临终看到的星空。,,
10,普通,废弃矿井,<color=yellow>普通</color><br>锈蚀矿车装满结晶化的眼球，钟摆般摇晃的安全帽里爬出蜈蚣。,,
11,精英,古神祭坛,<color=red>困难</color><br>你会是下一个祭品吗？,,
12,首领,古龙巢穴,<color=#800001>噩梦</color><br>洞壁上嵌满龙裔信徒的化石，他们保持着朝拜姿态。,,
13,首领,偶遇大力王,<color=#800002>噩梦</color><br>他儿子的哭声让岩石龟裂，他的战斗腰带镶嵌着败者的头骨。,,
14,精英,拳王之战,<color=red>困难</color><br>擂台由败者皮肤铺就。,,
15,普通,铁盒,,是,
16,精英,荒野,<color=red>困难</color><br>空无一物。,,
17,普通,腐化主教,,是,
18,普通,黑暗洞穴,<color=yellow>普通</color><br>深邃，几乎无法视物。,,
19,精英,狩猎二人组,,,
20,普通,庞然大物,,是,
21,普通,拟态者,,,
22,首领,异体同心,,是,
23,精英,圣徒,<color=#800002>噩梦</color><br>“歌颂我”。,是,
24,首领,镜中人,<color=red>困难</color><br>镜中浮现的是你的身影。,是,
25,精英,巨龙巢穴,,,
26,建筑,命运之树,"<color=green>安全</color><br>在这条路上,无数人前赴后继。",,"命运,在此显现"
27,首领,污垢,"<color=#800000>噩梦</color><br>""你也觉得我不配活在世上吗?""他试图探寻答案。",,
28,首领,升华态,"<color=#800000>噩梦</color><br>""加入我们吧。""那只虫子对你张开了口器。",,
29,建筑,微光之所,"<color=green>安全</color><br>无尽长夜中,仍有点点微光。",,休息点
*0,首领,终焉之刻,"<color=red>困难
它在等你。</color><br>",,
30,精英,力量试炼,力量之碑的考验,,
31,精英,坚韧试炼,坚韧之碑的考验,,
32,精英,智慧试炼,智慧之碑的考验,,
33,首领,火凤,流星火雨,,
34,精英,飞贼,拿命来吧,,
35,精英,罪人,你要赎罪,,
36,精英,双胞胎,誓死不相离,,
37,普通,乐师,乐曲中暗藏杀机,,
38,普通,刺杀,你因盛名而被刺杀,,
